analysis_id,component,condition,n_subjects,collapsed_peak_latency_ms,window_start_ms,window_end_ms,fwhm_ms,mean_amplitude_roi,peak_amplitude_roi,latency_frac_area_ms,latency_peak_ms,roi_channels
increase_by_1_ACC1,P1,1 to 2,24,104.0,83.96661438986385,116.03243595138315,32.0658215615193,-0.3720026473516976,0.36599937355597817,104.0,84.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1_ACC1,P1,2 to 3,24,104.0,83.96661438986385,116.03243595138315,32.0658215615193,0.42850986215841413,0.5341024017630915,100.43475022386859,104.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1_ACC1,P1,3 to 4,24,104.0,83.96661438986385,116.03243595138315,32.0658215615193,0.6267566676232854,1.1062696601767668,103.51642666496156,104.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1_ACC1,P1,4 to 5,24,104.0,83.96661438986385,116.03243595138315,32.0658215615193,1.1720005287993298,1.873382781634829,99.70364047301099,100.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1_ACC1,P1,5 to 6,16,104.0,83.96661438986385,116.03243595138315,32.0658215615193,2.107928536602894,2.815220869337676,102.92381226549121,108.0,E71;E75;E76;E70;E83;E74;E81;E82
increase_by_1_ACC1,N1,1 to 2,24,160.0,135.86065751511748,206.927952761276,71.06729524615852,-2.8709686005848343,-3.5484948265956104,169.31347606215522,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1_ACC1,N1,2 to 3,24,160.0,135.86065751511748,206.927952761276,71.06729524615852,-2.842368053947117,-3.4995867840545007,169.59915935351904,164.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1_ACC1,N1,3 to 4,24,160.0,135.86065751511748,206.927952761276,71.06729524615852,-3.212107907300357,-3.981155530118329,167.87310074717058,160.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1_ACC1,N1,4 to 5,24,160.0,135.86065751511748,206.927952761276,71.06729524615852,-4.047665383538902,-4.556727385206589,168.80696170964103,152.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1_ACC1,N1,5 to 6,16,160.0,135.86065751511748,206.927952761276,71.06729524615852,-1.6204825885453498,-2.510754143891794,177.6250472843567,192.0,E66;E65;E59;E60;E67;E71;E70;E84;E76;E77;E85;E91;E90;E83
increase_by_1_ACC1,P3b,1 to 2,24,520.0,436.6377888114472,537.0169120255765,100.37912321412932,2.111246046978663,2.279445930562769,489.3959340495277,504.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1_ACC1,P3b,2 to 3,24,520.0,436.6377888114472,537.0169120255765,100.37912321412932,2.339237966707524,3.189594936233654,477.58170374020204,444.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1_ACC1,P3b,3 to 4,24,520.0,436.6377888114472,537.0169120255765,100.37912321412932,1.9818649539293347,2.425804071692966,489.47075739477003,480.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1_ACC1,P3b,4 to 5,24,520.0,436.6377888114472,537.0169120255765,100.37912321412932,1.5840201288181015,2.54865246387156,502.7424441577057,516.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
increase_by_1_ACC1,P3b,5 to 6,16,520.0,436.6377888114472,537.0169120255765,100.37912321412932,0.3231951547697699,1.105744614600399,518.7312290918044,520.0,E54;E61;E78;E79;E62;E72;E55;E77;E67
